# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.017453292519943,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
# Label	X/East	Y/North	Z/Altitude	Yaw	Pitch	Roll	Error (m)	X error	Y error	Z error	Error (deg)	Yaw error	Pitch error	Roll error	X est	Y est	Z est	Yaw est	Pitch est	Roll est
dji_0002.jpg	-73.625971	3.864084	62.400000				1.517501	0.268049	0.285889	1.466024					-73.625969	3.864087	63.866024	18.481519	53.780094	0.403420
dji_0003.jpg	-73.625946	3.864075	62.500000				1.212958	-0.477414	0.439070	1.024968					-73.625950	3.864079	63.524968	357.678195	53.517747	-1.352379
dji_0004.jpg	-73.625921	3.864089	62.400000				1.280561	-0.232734	0.272297	1.229441					-73.625923	3.864091	63.629441	338.328540	53.142262	-1.927012
dji_0005.jpg	-73.625918	3.864116	62.400000				1.008506	-0.258295	0.067845	0.972505					-73.625920	3.864117	63.372505	323.667939	52.800989	-1.937852
dji_0006.jpg	-73.625915	3.864105	62.300000				1.179729	-0.327309	0.208147	1.114138					-73.625918	3.864107	63.414138	314.989361	52.635449	-1.819297
dji_0007.jpg	-73.625892	3.864126	62.400000				1.098523	-0.409174	0.000222	1.019475					-73.625895	3.864126	63.419475	292.643300	52.075710	-1.974894
dji_0008.jpg	-73.625897	3.864160	62.500000				0.921372	-0.368760	-0.188032	0.823157					-73.625901	3.864158	63.323157	262.413889	51.419218	-2.014615
dji_0009.jpg	-73.625910	3.864179	62.400000				0.954416	-0.257306	-0.353095	0.848544					-73.625913	3.864176	63.248544	241.998787	51.268741	-1.452413
dji_0010.jpg	-73.625908	3.864187	62.200000				1.418003	-0.703375	0.393324	1.166745					-73.625914	3.864191	63.366745	219.749118	51.237072	-0.837934
dji_0011.jpg	-73.625930	3.864207	62.500000				1.291020	-0.436783	-0.555348	1.080528					-73.625934	3.864202	63.580528	196.266381	51.417631	-0.173832
dji_0012.jpg	-73.625959	3.864204	62.500000				1.147959	-0.400198	-0.515514	0.944403					-73.625962	3.864199	63.444403	161.640222	51.489270	-0.100154
dji_0013.jpg	-73.625985	3.864188	62.300000				0.962818	0.207384	-0.444418	0.828554					-73.625983	3.864184	63.128554	124.558538	51.709764	-0.049356
dji_0014.jpg	-73.626002	3.864160	62.200000				1.102606	0.340497	-0.093817	1.044510					-73.625999	3.864159	63.244510	90.483802	51.931443	-0.304526
dji_0015.jpg	-73.625997	3.864118	62.300000				1.092328	0.464524	-0.243974	0.958058					-73.625993	3.864115	63.258057	47.015051	51.722898	-1.384692
dji_0016.jpg	-73.625962	3.864107	62.300000				0.866176	0.130213	0.239660	0.822112					-73.625960	3.864109	63.122112	20.089442	51.709357	-1.050117
dji_0017.jpg	-73.625930	3.864111	62.300000				1.044996	-0.760139	0.082590	0.712309					-73.625937	3.864112	63.012309	340.833480	51.676389	-1.465150
dji_0018.jpg	-73.625917	3.864139	62.400000				0.707519	-0.256071	0.313621	0.580218					-73.625919	3.864142	62.980218	294.089344	51.182564	-1.842512
dji_0019.jpg	-73.625903	3.864155	62.400000				0.849290	0.603679	-0.062794	0.594072					-73.625897	3.864154	62.994072	277.438491	51.336912	-0.990842
dji_0020.jpg	-73.625902	3.864199	62.300000				1.011634	0.037805	-0.722496	0.707087					-73.625902	3.864193	63.007087	228.899316	51.173449	-0.593335
dji_0021.jpg	-73.625939	3.864214	62.300000				0.785666	-0.136955	-0.469050	0.615229					-73.625940	3.864209	62.915229	185.386141	51.246052	-0.055695
dji_0022.jpg	-73.625995	3.864212	62.300000				0.857103	0.398354	-0.488305	0.580946					-73.625992	3.864208	62.880946	137.849767	51.499517	0.121054
dji_0023.jpg	-73.626007	3.864161	62.300000				0.894579	0.384965	-0.184429	0.786168					-73.626004	3.864159	63.086168	107.202467	51.939655	0.384874
dji_0024.jpg	-73.626014	3.864139	62.200000				0.842940	0.471381	0.181805	0.674755					-73.626010	3.864141	62.874755	80.136434	52.399763	0.109520
dji_0025.jpg	-73.625999	3.864098	62.400000				0.679488	0.381278	0.192162	0.528587					-73.625996	3.864100	62.928587	42.083749	52.520233	-0.710432
dji_0026.jpg	-73.625970	3.864090	62.200000				0.663876	0.179291	0.302897	0.562886					-73.625968	3.864092	62.762886	27.010590	52.849237	-0.529518
